EMPRESA (SIGLA);EMPRESA (NOME);EMPRESA (NACIONALIDADE);ANO;MÊS;AEROPORTO DE ORIGEM (SIGLA);AEROPORTO DE ORIGEM (NOME);AEROPORTO DE ORIGEM (UF);AEROPORTO DE ORIGEM (REGIÃO);AEROPORTO DE ORIGEM (PAÍS);AEROPORTO DE ORIGEM (CONTINENTE);AEROPORTO DE DESTINO (SIGLA);AEROPORTO DE DESTINO (NOME);AEROPORTO DE DESTINO (UF);AEROPORTO DE DESTINO (REGIÃO);AEROPORTO DE DESTINO (PAÍS);AEROPORTO DE DESTINO (CONTINENTE);NATUREZA;GRUPO DE VOO;PASSAGEIROS PAGOS;PASSAGEIROS GRÁTIS;CARGA PAGA (KG);CARGA GRÁTIS (KG);CORREIO (KG);ASK;RPK;ATK;RTK;COMBUSTÍVEL (LITROS);DISTÂNCIA VOADA (KM);DECOLAGENS;CARGA PAGA KM;CARGA GRATIS KM;CORREIO KM;ASSENTOS;PAYLOAD;HORAS VOADAS;BAGAGEM (KG)
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2023;1;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;7437;361;264520;0;4836;72835700;61310600;11500400;7738510;0;255564;31;2180700000;0;39868000;8835;1395000;314,417;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2023;1;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;3126;126;28267;0;1758;27329700;24160900;4521460;2406530;0;100477;13;218476000;0;13587600;3536;585000;125,7;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2023;1;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;7829;282;166621;0;1309;69650400;60001500;12569000;6687130;0;229920;30;1276980000;0;10032200;9088;1640000;283,985;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2023;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;7557;207;133078;0;13198;55516000;50760400;8765680;5550950;0;194793;29;893885000;0;88651000;8265;1305000;239,267;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2023;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;18536;560;329503;0;20053;134241000;121856000;23469200;13265000;0;473328;72;2166150000;0;131828000;20420;3570000;593,097;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2023;1;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;2936;102;32265;0;0;25227500;22692300;4173660;2291680;0;92748;12;249376000;0;0;3264;540000;117,052;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2023;1;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;8740;333;156407;0;14849;62998700;58706600;9974740;6433900;0;221661;33;1050590000;0;99740700;9379;1485000;276,983;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2023;1;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;7731;427;206908;0;2926;72835700;63734400;11500400;7465950;0;255564;31;1705750000;0;24121900;8835;1395000;318,999;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2023;1;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;IMPRODUTIVO;0;0;0;0;0;0;0;0;0;0;7664;1;0;0;0;0;0;7,95;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2023;1;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;8375;364;118659;0;1316;71735000;64186000;12913800;6696210;0;237584;31;909402000;0;10085800;9360;1685000;298,215;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2023;1;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;IMPRODUTIVO;0;0;0;0;0;0;0;0;0;0;6574;1;0;0;0;0;0;8,25;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2023;1;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;17145;778;453612;0;28174;129442000;112711000;22746000;13311200;0;460180;70;2982050000;0;185216000;19690;3460000;571,614;0
ABB;AIR BELGIUM S.A.;ESTRANGEIRA;2023;1;EBBR;BRUSSELS/ZAVENTEM;;;BÉLGICA;EUROPA;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;NÃO REGULAR;0;0;221508;0;0;0;0;6760260;2137990;0;38608;4;2138000000;0;0;0;700400;46,35;0
ABB;AIR BELGIUM S.A.;ESTRANGEIRA;2023;1;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;SCEL;SANTIAGO;;;CHILE;AMÉRICA DO SUL;INTERNACIONAL;IMPRODUTIVO;0;0;0;0;0;0;0;0;0;0;10456;4;0;0;0;0;0;15,05;0
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;BRASILEIRA;2023;1;SBSV;SALVADOR;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;SIRI;MARAÚ;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;29;0;0;0;0;11610;3741;1360;278;1160;1290;10;0;0;0;90;10550;5,285;0
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;BRASILEIRA;2023;1;SBSV;SALVADOR;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;SNCL;CAIRU;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;253;3;0;0;0;47808;20999;5824;1543;4736;5312;64;0;0;0;576;70400;24,4;0
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;BRASILEIRA;2023;1;SIRI;MARAÚ;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;SBSV;SALVADOR;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;54;0;0;0;0;11610;6966;1360;517;1160;1290;10;0;0;0;90;10550;5,299;0
ABJ;ATA - AEROTÁXI ABAETÉ LTDA.;BRASILEIRA;2023;1;SNCL;CAIRU;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;SBSV;SALVADOR;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;457;3;0;0;0;47808;37931;5824;2818;4736;5312;64;0;0;0;576;70400;25,268;0
ACA;AIR CANADA;ESTRANGEIRA;2023;1;CYUL;MONTREAL, QUEBEC;;;CANADÁ;AMÉRICA DO NORTE;SAEZ;EZEIZA, BUENOS AIRES PROVINCE;;;ARGENTINA;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;1504;21;38323;0;0;;;;;;;;;;;;;;0
ACA;AIR CANADA;ESTRANGEIRA;2023;1;CYUL;MONTREAL, QUEBEC;;;CANADÁ;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;2808;141;117263;0;1272;48538200;35116900;9350440;4437970;0;162880;20;1267090000;0;10359200;5960;1148140;201,4;0
ACA;AIR CANADA;ESTRANGEIRA;2023;1;CYYZ;TORONTO;;;CANADÁ;AMÉRICA DO NORTE;SAEZ;EZEIZA, BUENOS AIRES PROVINCE;;;ARGENTINA;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;298;0;4851;0;0;;;;;;;;;;;;;;0
ACA;AIR CANADA;ESTRANGEIRA;2023;1;CYYZ;TORONTO;;;CANADÁ;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;10485;380;231211;0;4855;128908000;88355900;19204000;9926090;0;311372;38;1934290000;0;39781900;15732;2343660;379,516;0
ACA;AIR CANADA;ESTRANGEIRA;2023;1;SAEZ;EZEIZA, BUENOS AIRES PROVINCE;;;ARGENTINA;AMÉRICA DO SUL;CYUL;MONTREAL, QUEBEC;;;CANADÁ;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;1012;0;161141;0;0;;;;;;;;;;;;;;0
ACA;AIR CANADA;ESTRANGEIRA;2023;1;SAEZ;EZEIZA, BUENOS AIRES PROVINCE;;;ARGENTINA;AMÉRICA DO SUL;CYYZ;TORONTO;;;CANADÁ;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;132;0;7216;0;0;;;;;;;;;;;;;;0
ACA;AIR CANADA;ESTRANGEIRA;2023;1;SAEZ;EZEIZA, BUENOS AIRES PROVINCE;;;ARGENTINA;AMÉRICA DO SUL;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;6450;121;22175;0;0;13855200;13076900;2669060;1505000;0;46494;27;328096000;0;0;8046;1549990;72,115;0
ACA;AIR CANADA;ESTRANGEIRA;2023;1;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;CYUL;MONTREAL, QUEBEC;;;CANADÁ;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;5988;179;164380;0;1010;63099700;57008000;12155600;7789980;0;211744;26;2651040000;0;8225440;7748;1492580;268,417;0
ACA;AIR CANADA;ESTRANGEIRA;2023;1;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;CYYZ;TORONTO;;;CANADÁ;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;12106;318;389682;0;4095;116748000;100278000;16473300;12310800;0;262208;32;3252180000;0;33554400;14248;2010410;321,767;0
ACA;AIR CANADA;ESTRANGEIRA;2023;1;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;SAEZ;EZEIZA, BUENOS AIRES PROVINCE;;;ARGENTINA;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;5102;141;120832;0;0;13855200;11888700;2669060;1352390;0;46494;27;282418000;0;0;8046;1549990;75,65;0
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2023;1;SBAC;ARACATI;CE;NORDESTE;BRASIL;AMÉRICA DO SUL;SBFZ;FORTALEZA;CE;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;23;0;0;0;0;11880;2760;1972;240;1129;1320;11;0;0;0;99;16471;8,76667;312
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2023;1;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;IMPRODUTIVO;0;0;50;0;0;0;0;0;0;320;0;1;0;0;0;0;1280;2,23333;0
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2023;1;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SBIH;ITAITUBA;PA;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;IMPRODUTIVO;0;0;0;0;0;0;0;0;0;477;894;1;0;0;0;0;0;3,1;0
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2023;1;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SBMA;MARABÁ;PA;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;0;0;70;0;0;0;0;594;31;277;449;1;31430;0;0;0;1323;1,95;0
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2023;1;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SBMD;ALMEIRIM;PA;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;IMPRODUTIVO;0;0;0;0;0;0;0;0;0;258;462;1;0;0;0;0;0;1,88333;0
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2023;1;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SBMD;ALMEIRIM;PA;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;37;0;1621;0;0;74844;17094;11812;2211;4817;8778;19;748902;0;0;162;25583;33,3833;407
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2023;1;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SBMQ;MACAPÁ;AP;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;IMPRODUTIVO;0;0;0;0;0;0;0;0;0;407;658;2;0;0;0;0;0;2,73333;0
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2023;1;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SBSL;SÃO LUÍS;MA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;IMPRODUTIVO;0;0;0;0;0;0;0;0;0;309;490;1;0;0;0;0;0;2,1;0
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2023;1;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SBSN;SANTARÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;55;0;1605;0;0;70290;39050;9488;4439;4230;7810;11;1139550;0;0;99;13370;28,6833;530
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2023;1;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SNEB;PARAGOMINAS;PA;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;48;0;845;0;0;22077;10704;3545;1067;1676;2453;11;188435;0;0;99;15924;12,7167;366
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2023;1;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SNMZ;PORTO DE MOZ;PA;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;0;0;40;0;0;0;0;582;16;210;419;1;16760;0;0;0;1390;1,55;0
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2023;1;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SNSM;SALINÓPOLIS;PA;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;6;0;0;0;0;10656;888;1767;66;845;1184;8;0;0;0;72;11955;6,48333;0
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2023;1;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SNVS;BREVES;PA;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;IMPRODUTIVO;0;0;0;0;0;0;0;0;0;399;660;3;0;0;0;0;0;3,11667;0
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2023;1;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SNVS;BREVES;PA;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;NÃO REGULAR;29;0;430;0;0;9900;6380;1610;631;670;1100;5;94600;0;0;45;7330;5;275
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2023;1;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SNVS;BREVES;PA;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;69;0;1744;0;0;45540;15180;7724;1616;3237;5280;24;383680;0;0;207;35163;24,6667;473
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2023;1;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SNYA;ALMEIRIM;PA;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;0;0;180;0;0;0;0;1171;81;631;912;2;82080;0;0;0;2569;4,38333;0
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2023;1;SBBG;BAGÉ;RS;SUL;BRASIL;AMÉRICA DO SUL;SBPA;PORTO ALEGRE;RS;SUL;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;10;0;464;0;0;28890;3210;4547;388;1816;3210;10;148944;0;0;90;14184;12,7833;0
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2023;1;SBBH;BELO HORIZONTE;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;IMPRODUTIVO;0;0;0;0;0;0;0;0;0;53;25;1;0;0;0;0;0;0,65;0
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2023;1;SBBW;BARRA DO GARÇAS;MT;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;SBCY;VÁRZEA GRANDE;MT;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;19;0;314;0;0;28800;7600;4216;771;2250;3200;8;125600;0;0;72;10550;15,3;190
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2023;1;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;IMPRODUTIVO;0;0;155;0;0;0;0;0;0;407;0;2;0;0;0;0;2793;2,9;0
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2023;1;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;SBJD;JUNDIAÍ;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;IMPRODUTIVO;0;0;0;0;0;0;0;0;0;594;1002;2;0;0;0;0;0;4,23333;0
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2023;1;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;SBMK;MONTES CLAROS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;IMPRODUTIVO;0;0;0;0;0;0;0;0;0;229;325;1;0;0;0;0;0;1,61667;0
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2023;1;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;SBVG;VARGINHA;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;69;2;778;0;0;29052;18561;4592;1682;2106;3228;12;209282;0;0;108;17094;17,9667;323
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2023;1;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;SBZM;GOIANÁ;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;64;2;639;0;0;20340;14464;3236;1330;1662;2260;10;144414;0;0;90;14338;13;467
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2023;1;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;SNPD;PATOS DE MINAS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;31;0;457;0;0;17955;8835;2785;851;1411;1995;7;130245;0;0;63;9789;11,45;214
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2023;1;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;SNTO;TEÓFILO OTONI;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;56;0;831;0;0;31977;18088;4956;1813;2241;3553;11;268413;0;0;99;15359;17,4;600
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2023;1;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;SNZR;PARACATU;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;18;0;481;0;0;25515;7290;3768;782;1886;2835;7;194805;0;0;63;9314;13,5667;108
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2023;1;SBCP;CAMPOS DOS GOYTACAZES;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;SBRJ;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;115;0;775;0;0;35649;26795;5661;2301;2872;3961;17;180575;0;0;153;24328;20,65;509
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2023;1;SBCT;SÃO JOSÉ DOS PINHAIS;PR;SUL;BRASIL;AMÉRICA DO SUL;SBCT;SÃO JOSÉ DOS PINHAIS;PR;SUL;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;IMPRODUTIVO;0;0;126;0;0;0;0;0;0;921;0;4;0;0;0;0;5479;6,41667;0
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2023;1;SBCT;SÃO JOSÉ DOS PINHAIS;PR;SUL;BRASIL;AMÉRICA DO SUL;SBJD;JUNDIAÍ;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;IMPRODUTIVO;0;0;0;0;0;0;0;0;0;200;346;1;0;0;0;0;0;1,41667;0
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2023;1;SBCT;SÃO JOSÉ DOS PINHAIS;PR;SUL;BRASIL;AMÉRICA DO SUL;SBJD;JUNDIAÍ;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;19;0;144;0;0;18684;6574;2867;556;1304;2076;6;49824;0;0;54;8296;9,53333;48
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2023;1;SBCT;SÃO JOSÉ DOS PINHAIS;PR;SUL;BRASIL;AMÉRICA DO SUL;SBPA;PORTO ALEGRE;RS;SUL;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;IMPRODUTIVO;0;0;0;0;0;0;0;0;0;344;534;1;0;0;0;0;0;2,45;0
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2023;1;SBCT;SÃO JOSÉ DOS PINHAIS;PR;SUL;BRASIL;AMÉRICA DO SUL;SSGY;GUAÍRA;PR;SUL;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;22;0;526;0;0;62127;11682;8780;1250;4252;6903;13;279306;0;0;117;16548;30,1667;185
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2023;1;SBCT;SÃO JOSÉ DOS PINHAIS;PR;SUL;BRASIL;AMÉRICA DO SUL;SSUM;UMUARAMA;PR;SUL;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;46;0;973;0;0;53820;21160;7807;2206;3815;5980;13;447580;0;0;117;16985;26,2833;387
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2023;1;SBCT;SÃO JOSÉ DOS PINHAIS;PR;SUL;BRASIL;AMÉRICA DO SUL;SSUV;UNIÃO DA VITÓRIA;PR;SUL;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;3;1;60;0;0;18450;615;2992;62;1383;2050;10;12300;0;0;90;14617;10,9333;25
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2023;1;SBCT;SÃO JOSÉ DOS PINHAIS;PR;SUL;BRASIL;AMÉRICA DO SUL;SSVL;TELÊMACO BORBA;PR;SUL;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;3;0;57;0;0;19899;603;3224;63;1538;2211;11;11457;0;0;99;16062;11,9667;38
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2023;1;SBCY;VÁRZEA GRANDE;MT;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;SBBW;BARRA DO GARÇAS;MT;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;18;0;467;0;0;28800;7200;4319;808;1998;3200;8;186800;0;0;72;10802;14,3;209
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2023;1;SBCY;VÁRZEA GRANDE;MT;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;SBCY;VÁRZEA GRANDE;MT;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;IMPRODUTIVO;0;0;230;0;0;0;0;0;0;1578;0;3;0;0;0;0;3222;10,5167;0
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2023;1;SBCY;VÁRZEA GRANDE;MT;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;SBJI;JI-PARANÁ;RO;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;12;0;303;0;0;14688;9792;2547;1099;1677;2448;3;247248;0;0;18;3123;11,2667;146
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2023;1;SBCY;VÁRZEA GRANDE;MT;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;SBPJ;PALMAS;TO;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;IMPRODUTIVO;0;0;0;0;0;0;0;0;0;1226;2060;2;0;0;0;0;0;7,95;0
